"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","colsample_bytree","dropout_rate","dt_criterion","dt_max_depth","dt_min_samples_leaf","dt_min_samples_split","hidden_sizes","learning_rate","lgb_max_depth","lgb_n_estimators","lr_C","lr_penalty","method","metric.goal","metric.name","min_child_weight","mlp_learning_rate","model_type","parameters.batch_sizes","parameters.colsample_bytrees","parameters.dropout_rates","parameters.dt_criterions","parameters.dt_max_depths","parameters.dt_min_samples_leaf.distribution","parameters.dt_min_samples_leaf.max","parameters.dt_min_samples_leaf.min","parameters.dt_min_samples_split.distribution","parameters.dt_min_samples_split.max","parameters.dt_min_samples_split.min","parameters.hidden_sizess","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.lgb_max_depths","parameters.lgb_n_estimatorss","parameters.lr_C.distribution","parameters.lr_C.max","parameters.lr_C.min","parameters.lr_penaltys","parameters.min_child_weights","parameters.mlp_learning_rate.distribution","parameters.mlp_learning_rate.max","parameters.mlp_learning_rate.min","parameters.model_types","parameters.reg_alpha.distribution","parameters.reg_alpha.max","parameters.reg_alpha.min","parameters.reg_lambda.distribution","parameters.reg_lambda.max","parameters.reg_lambda.min","parameters.rf_max_depths","parameters.rf_min_samples_leaf.distribution","parameters.rf_min_samples_leaf.max","parameters.rf_min_samples_leaf.min","parameters.rf_n_estimatorss","parameters.subsamples","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","reg_alpha","reg_lambda","rf_max_depth","rf_min_samples_leaf","rf_n_estimators","subsample","weight_decay","AUC","F1","F1_train","F1_val","accuracy","accuracy_train","average_precision","precision","recall"
"vivid-sweep-42","","finished","-","","","2026-04-08T10:33:52.000Z","6","o31qb7u1","256","0.6","0.4","entropy","5","9","3","128,64","0.10220826638682842","15","300","0.435201358174077","l1","","","","5","0.00014619251211959582","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1952842791085128","6.29641032022112","7","3","100","0.6","0.0054553089848376705","0.7932431202933848","0.6284922650658047","0.6325115562403698","0.606489945155393","0.7344884488448845","0.7375948949279348","0.6422600698255627","0.5701717637201508","0.7001028806584362"
"hardy-sweep-26","","finished","-","","","2026-04-08T10:30:25.000Z","11","o31qb7u1","256","0.4","0.5","entropy","5","10","5","256,128,64","0.04290373715017706","10","200","2.814938613559186","l1","","","","5","0.0006052104684900729","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4236033606540304","9.147493696892456","3","8","100","0.4","0.006510215002932084","0.7932431202933848","0.6284922650658047","0.6325115562403698","0.606489945155393","0.7344884488448845","0.7375948949279348","0.6422600698255627","0.5701717637201508","0.7001028806584362"
"wise-sweep-28","","finished","-","","","2026-04-08T10:30:53.000Z","7","o31qb7u1","128","0.8","0.5","entropy","5","9","9","512,256,128","0.2516770113083935","3","50","0.4053855034864383","l1","","","","20","0.0007086147535097278","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06796634645792753","1.3180227164324292","5","7","100","0.8","0.005736820209583694","0.7932431202933848","0.6284922650658047","0.6325115562403698","0.606489945155393","0.7344884488448845","0.7375948949279348","0.6422600698255627","0.5701717637201508","0.7001028806584362"
"young-sweep-14","","finished","-","","","2026-04-08T10:27:52.000Z","11","o31qb7u1","256","0.6","0.5","entropy","5","6","2","128,64","0.1181887013577742","7","300","0.1690740814807783","l1","","","","10","0.00025705515583990566","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01586479894226907","2.2436740846087377","3","6","200","0.4","0.0010830912729895945","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"rosy-sweep-51","","finished","-","","","2026-04-08T10:35:46.000Z","6","o31qb7u1","128","1","0.3","entropy","5","2","8","128,64","0.2931194331448937","15","100","6.390774423659472","l2","","","","10","0.001815770854318566","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06710006550880236","1.2001874553124028","3","4","100","0.4","0.007262815616682815","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"morning-sweep-34","","finished","-","","","2026-04-08T10:32:14.000Z","6","o31qb7u1","512","0.6","0.5","entropy","5","8","14","128,64","0.25143230449195186","7","100","0.3418535690070682","l1","","","","10","0.0003844395083198726","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0431196689061042","9.089319331275885","5","5","50","0.6","0.009437966142253746","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"volcanic-sweep-65","","finished","-","","","2026-04-08T10:38:38.000Z","7","o31qb7u1","256","1","0.5","entropy","5","6","18","256,128","0.2264663464550828","10","50","3.492020740694139","l1","","","","5","0.0003408335765001823","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.20650187050783225","1.753570753029712","3","6","50","0.4","0.00024759851844985924","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"vivid-sweep-45","","finished","-","","","2026-04-08T10:34:31.000Z","8","o31qb7u1","128","0.4","0.5","entropy","5","6","2","128,64","0.08978309492917669","10","100","0.5481422658790115","l2","","","","5","0.0004580498005050402","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5061212663244733","5.391866724006568","5","8","100","0.6","0.0022693708272737904","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"upbeat-sweep-3","","finished","-","","","2026-04-08T10:25:26.000Z","10","o31qb7u1","128","0.4","0.4","entropy","5","6","2","512,256,128","0.1684576234341368","10","100","0.014944571651389417","l1","","","","10","0.001160491678723669","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2549838667825791","2.6927983271270497","7","7","100","0.4","0.0007805137474235268","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"upbeat-sweep-15","","finished","-","","","2026-04-08T10:28:09.000Z","9","o31qb7u1","128","0.6","0.5","entropy","5","8","2","128,64","0.27106751362978254","7","200","0.003972707540428529","l1","","","","5","0.0016261491256335738","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6924490304305785","1.2366273088067594","5","9","200","0.4","0.0016143452225400037","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"rosy-sweep-10","","finished","-","","","2026-04-08T10:26:56.000Z","10","o31qb7u1","512","0.6","0.5","entropy","5","8","5","256,128,64","0.28899264488932586","7","200","0.02704025912802182","l1","","","","10","0.0002456436154693253","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.023499219840260023","2.0277990010213465","7","3","100","0.6","0.00222058063773368","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"worthy-sweep-7","","finished","-","","","2026-04-08T10:26:17.000Z","11","o31qb7u1","256","0.4","0.5","entropy","5","7","8","512,256,128","0.11481125530127365","10","200","0.0780782270774789","l1","","","","5","0.0007683145885089023","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3298066903129184","1.7004373085039324","5","6","200","0.6","0.0077811154780681804","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"sparkling-sweep-48","","finished","-","","","2026-04-08T10:35:06.000Z","6","o31qb7u1","128","0.8","0.5","entropy","5","7","3","128,64","0.06679607507250307","10","100","7.264116324561367","l1","","","","5","0.00010173059541751896","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.017446861202400174","3.1357187578190207","3","5","50","1","0.00043045206437373974","0.7930005408983111","0.6279231303542486","0.6317332921747183","0.6062685884237017","0.7348184818481848","0.7374848718230829","0.6421578712115332","0.5709473684210526","0.6975308641975309"
"upbeat-sweep-54","","finished","-","","","2026-04-08T10:36:21.000Z","11","o31qb7u1","128","0.6","0.5","gini","5","2","9","256,128","0.14431961830412676","15","50","0.16919914473676248","l2","","","","5","0.00018422701139241023","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.10544553745274785","7.163216144362432","3","7","50","0.8","0.0028100708797461705","0.7929400522701733","0.627122381477398","0.6343108504398827","0.603568320278503","0.720957095709571","0.7256023764990648","0.6421908327698614","0.5488228483211115","0.7314814814814815"
"super-sweep-17","","finished","-","","","2026-04-08T10:28:32.000Z","10","o31qb7u1","512","0.4","0.5","gini","5","9","17","128,64","0.2128346324171413","15","100","0.08564741902316372","l1","","","","5","0.0005344569320396399","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15518292238458495","4.089043979018872","3","4","50","0.4","0.0012416765782351823","0.7929400522701733","0.627122381477398","0.6343108504398827","0.603568320278503","0.720957095709571","0.7256023764990648","0.6421908327698614","0.5488228483211115","0.7314814814814815"
"solar-sweep-55","","finished","-","","","2026-04-08T10:36:32.000Z","6","o31qb7u1","256","0.8","0.4","gini","5","8","8","128,64","0.05923220228139096","10","50","1.815563402319042","l1","","","","10","0.00016408599560371052","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08778108258215492","9.23139977185662","7","5","50","0.6","0.007413778790685275","0.7929400522701733","0.627122381477398","0.6343108504398827","0.603568320278503","0.720957095709571","0.7256023764990648","0.6421908327698614","0.5488228483211115","0.7314814814814815"
"deep-sweep-67","","finished","-","","","2026-04-08T10:39:07.000Z","11","o31qb7u1","256","0.8","0.5","gini","5","4","6","128,64","0.18417708461806517","15","50","0.242779279168118","l1","","","","5","0.0001840798066598695","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02124913452966525","3.1541601791435454","5","8","50","0.4","0.009131870357751938","0.7929400522701733","0.627122381477398","0.6343108504398827","0.603568320278503","0.720957095709571","0.7256023764990648","0.6421908327698614","0.5488228483211115","0.7314814814814815"
"vital-sweep-41","","finished","-","","","2026-04-08T10:33:35.000Z","12","o31qb7u1","128","0.8","0.3","entropy","3","6","4","256,128,64","0.0833835879352328","15","50","1.449237887314834","l1","","","","20","0.002448804218483481","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.022909105879545623","1.2363588900905065","5","3","50","0.6","0.00405883890908212","0.786115210340456","0.6172654690618763","0.6160632542655015","0.6010928961748634","0.7468646864686469","0.7462317086588184","0.6172747024707979","0.5993217054263565","0.6363168724279835"
"summer-sweep-47","","finished","-","","","2026-04-08T10:34:54.000Z","11","o31qb7u1","256","0.6","0.5","entropy","3","9","2","128,64","0.22648524404117465","3","100","1.7790310561700375","l1","","","","5","0.0010761051182556069","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4483295516928851","6.349751602991899","10","8","50","0.6","0.00027938737164842674","0.786115210340456","0.6172654690618763","0.6160632542655015","0.6010928961748634","0.7468646864686469","0.7462317086588184","0.6172747024707979","0.5993217054263565","0.6363168724279835"
"gentle-sweep-31","","finished","-","","","2026-04-08T10:31:38.000Z","9","o31qb7u1","128","0.6","0.5","entropy","3","5","18","128,64","0.14681350761579803","15","300","9.046118566462152","l1","","","","10","0.000157057540170849","dt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01241085275555385","5.155422349325071","7","3","50","0.6","0.008229078789723494","0.786115210340456","0.6172654690618763","0.6160632542655015","0.6010928961748634","0.7468646864686469","0.7462317086588184","0.6172747024707979","0.5993217054263565","0.6363168724279835"
